"key","value","date"
"Dawn of the Planet of the Apes",19.465117,2014-07-13
"Dawn of the Planet of the Apes",8.216757,2014-07-14
"Dawn of the Planet of the Apes",9.621188,2014-07-15
"Dawn of the Planet of the Apes",6.676696,2014-07-16
"Dawn of the Planet of the Apes",5.826776,2014-07-17
"Dawn of the Planet of the Apes",10.420767,2014-07-18
"Dawn of the Planet of the Apes",14.774045,2014-07-19
"Dawn of the Planet of the Apes",11.059498,2014-07-20
"Dawn of the Planet of the Apes",4.206553,2014-07-21
"Dawn of the Planet of the Apes",5.076572,2014-07-22
"Dawn of the Planet of the Apes",3.886167,2014-07-23
"Dawn of the Planet of the Apes",3.312183,2014-07-24
"Dawn of the Planet of the Apes",4.763739,2014-07-25
"Dawn of the Planet of the Apes",6.690304,2014-07-26
"Dawn of the Planet of the Apes",5.313217,2014-07-27
"Dawn of the Planet of the Apes",2.211648,2014-07-28
"Dawn of the Planet of the Apes",2.50684,2014-07-29
"Dawn of the Planet of the Apes",1.846187,2014-07-30
"Dawn of the Planet of the Apes",1.609109,2014-07-31
"Dawn of the Planet of the Apes",2.440431,2014-08-01
"Dawn of the Planet of the Apes",3.539004,2014-08-02
"Dawn of the Planet of the Apes",2.710879,2014-08-03
"Dawn of the Planet of the Apes",1.143549,2014-08-04
"Dawn of the Planet of the Apes",1.28597,2014-08-05
"Dawn of the Planet of the Apes",0.944221,2014-08-06
"Dawn of the Planet of the Apes",0.739897,2014-08-07
"Dawn of the Planet of the Apes",1.246076,2014-08-08
"Dawn of the Planet of the Apes",1.787641,2014-08-09
"Dawn of the Planet of the Apes",1.300815,2014-08-10
"Dawn of the Planet of the Apes",0.550886,2014-08-11
"Dawn of the Planet of the Apes",0.732003,2014-08-12
"Dawn of the Planet of the Apes",0.493593,2014-08-13
"Dawn of the Planet of the Apes",0.367722,2014-08-14
"Dawn of the Planet of the Apes",0.534806,2014-08-15
"Dawn of the Planet of the Apes",0.834313,2014-08-16
"Dawn of the Planet of the Apes",0.615657,2014-08-17
"Dawn of the Planet of the Apes",0.24276,2014-08-18
"Dawn of the Planet of the Apes",0.302905,2014-08-19
"Dawn of the Planet of the Apes",0.22575,2014-08-20
"Dawn of the Planet of the Apes",0.192419,2014-08-21
"Dawn of the Planet of the Apes",0.306557,2014-08-22
"Dawn of the Planet of the Apes",0.485286,2014-08-23
"Dawn of the Planet of the Apes",0.284738,2014-08-24
"Dawn of the Planet of the Apes",0.114971,2014-08-25
"Dawn of the Planet of the Apes",0.156819,2014-08-26
"Dawn of the Planet of the Apes",0.107614,2014-08-27
"Dawn of the Planet of the Apes",0.103036,2014-08-28
"Dawn of the Planet of the Apes",0.193397,2014-08-29
"Dawn of the Planet of the Apes",0.318078,2014-08-30
"Dawn of the Planet of the Apes",0.349791,2014-08-31
"Dawn of the Planet of the Apes",0.250081,2014-09-01
"Dawn of the Planet of the Apes",0.075151,2014-09-02
"Dawn of the Planet of the Apes",0.05391,2014-09-03
"Dawn of the Planet of the Apes",0.046135,2014-09-04
"Dawn of the Planet of the Apes",0.134566,2014-09-05
"Dawn of the Planet of the Apes",0.250431,2014-09-06
"Dawn of the Planet of the Apes",0.133554,2014-09-07
"Dawn of the Planet of the Apes",0.045181,2014-09-08
"Dawn of the Planet of the Apes",0.065712,2014-09-09
"Dawn of the Planet of the Apes",0.048694,2014-09-10
"Dawn of the Planet of the Apes",0.050807,2014-09-11
"Dawn of the Planet of the Apes",0.106482,2014-09-12
"Dawn of the Planet of the Apes",0.181121,2014-09-13
"Dawn of the Planet of the Apes",0.104436,2014-09-14
"Dawn of the Planet of the Apes",0.035957,2014-09-15
"Dawn of the Planet of the Apes",0.050224,2014-09-16
"Dawn of the Planet of the Apes",0.044181,2014-09-17
"Dawn of the Planet of the Apes",0.039013,2014-09-18
"Dawn of the Planet of the Apes",0.074508,2014-09-19
"Dawn of the Planet of the Apes",0.12187,2014-09-20
"Dawn of the Planet of the Apes",0.072316,2014-09-21
"Dawn of the Planet of the Apes",0.023205,2014-09-22
"Dawn of the Planet of the Apes",0.031146,2014-09-23
"Dawn of the Planet of the Apes",0.023921,2014-09-24
"Dawn of the Planet of the Apes",0.023978,2014-09-25
"Dawn of the Planet of the Apes",0.061633,2014-09-26
"Dawn of the Planet of the Apes",0.109614,2014-09-27
"Dawn of the Planet of the Apes",0.065556,2014-09-28
"Godzilla (2014)",0,2014-05-01
"Godzilla (2014)",0,2014-05-02
"Godzilla (2014)",0,2014-05-03
"Godzilla (2014)",0,2014-05-04
"Godzilla (2014)",0,2014-05-05
"Godzilla (2014)",0,2014-05-06
"Godzilla (2014)",0,2014-05-07
"Godzilla (2014)",0,2014-05-08
"Godzilla (2014)",0,2014-05-09
"Godzilla (2014)",0,2014-05-10
"Godzilla (2014)",0,2014-05-11
"Godzilla (2014)",0,2014-05-12
"Godzilla (2014)",0,2014-05-13
"Godzilla (2014)",0,2014-05-14
"Godzilla (2014)",0,2014-05-15
"Godzilla (2014)",38.410607,2014-05-16
"Godzilla (2014)",32.160363,2014-05-17
"Godzilla (2014)",22.617414,2014-05-18
"Godzilla (2014)",7.672038,2014-05-19
"Godzilla (2014)",6.944417,2014-05-20
"Godzilla (2014)",4.962197,2014-05-21
"Godzilla (2014)",4.581331,2014-05-22
"Godzilla (2014)",8.799935,2014-05-23
"Godzilla (2014)",11.773125,2014-05-24
"Godzilla (2014)",10.373356,2014-05-25
"Godzilla (2014)",7.490882,2014-05-26
"Godzilla (2014)",2.6894,2014-05-27
"Godzilla (2014)",2.109267,2014-05-28
"Godzilla (2014)",1.847225,2014-05-29
"Godzilla (2014)",3.34452,2014-05-30
"Godzilla (2014)",5.246022,2014-05-31
"Godzilla (2014)",3.417587,2014-06-01
"Godzilla (2014)",1.152979,2014-06-02
"Godzilla (2014)",1.370135,2014-06-03
"Godzilla (2014)",1.117001,2014-06-04
"Godzilla (2014)",1.013205,2014-06-05
"Godzilla (2014)",1.781428,2014-06-06
"Godzilla (2014)",2.509131,2014-06-07
"Godzilla (2014)",1.83062,2014-06-08
"Godzilla (2014)",0.752166,2014-06-09
"Godzilla (2014)",0.855132,2014-06-10
"Godzilla (2014)",0.743117,2014-06-11
"Godzilla (2014)",0.581409,2014-06-12
"Godzilla (2014)",0.880287,2014-06-13
"Godzilla (2014)",1.20991,2014-06-14
"Godzilla (2014)",1.220988,2014-06-15
"Godzilla (2014)",0.383462,2014-06-16
"Godzilla (2014)",0.458102,2014-06-17
"Godzilla (2014)",0.397153,2014-06-18
"Godzilla (2014)",0.399173,2014-06-19
"Godzilla (2014)",0.55453,2014-06-20
"Godzilla (2014)",0.779329,2014-06-21
"Godzilla (2014)",0.554445,2014-06-22
"Godzilla (2014)",0.26311,2014-06-23
"Godzilla (2014)",0.330238,2014-06-24
"Godzilla (2014)",0.284008,2014-06-25
"Godzilla (2014)",0.224356,2014-06-26
"Godzilla (2014)",0.29771,2014-06-27
"Godzilla (2014)",0.372363,2014-06-28
"Godzilla (2014)",0.264965,2014-06-29
"Godzilla (2014)",0.147148,2014-06-30
"Godzilla (2014)",0.142136,2014-07-01
"Godzilla (2014)",0.069095,2014-07-02
"Godzilla (2014)",0.105097,2014-07-03
"Godzilla (2014)",0.111565,2014-07-04
"Godzilla (2014)",0.18233,2014-07-05
"Godzilla (2014)",0.125213,2014-07-06
"Godzilla (2014)",0.052589,2014-07-07
"Godzilla (2014)",0.058374,2014-07-08
"Godzilla (2014)",0.046699,2014-07-09
"Godzilla (2014)",0.048567,2014-07-10
"Godzilla (2014)",0.077759,2014-07-11
"Godzilla (2014)",0.097711,2014-07-12
"Godzilla (2014)",0.070764,2014-07-13
"Godzilla (2014)",0.035382,2014-07-14
"Godzilla (2014)",0.041519,2014-07-15
"Godzilla (2014)",0.036536,2014-07-16
"Godzilla (2014)",0.03617,2014-07-17
"Godzilla (2014)",0.147471,2014-07-18
"Godzilla (2014)",0.210738,2014-07-19
"Godzilla (2014)",0.156978,2014-07-20
"Godzilla (2014)",0.07087,2014-07-21
"Godzilla (2014)",0.079374,2014-07-22
"Godzilla (2014)",0.074611,2014-07-23
"Godzilla (2014)",0.072372,2014-07-24
"Godzilla (2014)",0.110711,2014-07-25
"Godzilla (2014)",0.15198,2014-07-26
"Godzilla (2014)",0.124128,2014-07-27
"Godzilla (2014)",0.056621,2014-07-28
"Godzilla (2014)",0.058018,2014-07-29
"Godzilla (2014)",0.051636,2014-07-30
"Godzilla (2014)",0.051803,2014-07-31
"Godzilla (2014)",0.071275,2014-08-01
"Godzilla (2014)",0.093762,2014-08-02
"Godzilla (2014)",0.076813,2014-08-03
"Godzilla (2014)",0.035334,2014-08-04
"Godzilla (2014)",0.040281,2014-08-05
"Godzilla (2014)",0.030641,2014-08-06
"Godzilla (2014)",0.030515,2014-08-07
"Godzilla (2014)",0.038228,2014-08-08
"Godzilla (2014)",0.053812,2014-08-09
"Godzilla (2014)",0.042544,2014-08-10
"Godzilla (2014)",0.018455,2014-08-11
"Godzilla (2014)",0.019193,2014-08-12
"Godzilla (2014)",0.017165,2014-08-13
"Godzilla (2014)",0.016424,2014-08-14
"Godzilla (2014)",0.020795,2014-08-15
"Godzilla (2014)",0.033376,2014-08-16
